Service	Invocations	Failures
bloodpressure-0	329	47
bloodpressurefilter-0	328	45
bloodpressuretransfer-0	327	46
centralhub-0	321	33
ecg-0	338	30
ecgfilter-0	337	30
ecgtransfer-0	336	64
oximeter-0	332	28
oximeterfilter-0	331	40
oximetertransfer-0	330	61
thermometer-0	335	27
thermometerfilter-0	334	34
thermometertransfer-0	333	72

	bloodpressure-0	bloodpressurefilter-0	bloodpressuretransfer-0	centralhub-0	ecg-0	ecgfilter-0	ecgtransfer-0	oximeter-0	oximeterfilter-0	oximetertransfer-0	thermometer-0	thermometerfilter-0	thermometertransfer-0	
139	0	1	0	0	0	0	1	0	0	1	0	1	0	
140	0	0	0	0	0	0	0	0	0	0	1	0	0	
141	0	0	0	0	0	0	0	0	0	0	0	0	0	
142	0	1	0	0	0	0	0	0	0	0	0	0	1	
143	0	0	0	1	0	0	0	1	0	0	0	0	0	
144	0	0	0	0	0	0	0	0	0	0	0	1	0	
145	1	0	0	0	0	0	0	0	0	1	0	0	0	
146	1	0	0	0	0	1	0	0	0	0	0	0	0	
147	0	0	0	0	1	0	0	0	0	0	0	0	0	
148	0	1	0	0	0	0	0	0	0	0	0	0	0	
149	0	0	0	1	0	0	1	0	0	0	0	0	0	
150	1	0	0	0	0	0	0	0	0	0	1	0	0	
151	0	0	0	0	0	0	0	0	0	0	0	0	0	
152	0	0	0	0	0	0	0	0	0	0	0	0	1	
153	0	0	1	0	0	0	0	1	0	1	0	1	0	
154	1	0	0	0	0	0	0	0	0	1	0	0	0	
155	0	0	0	0	1	0	0	0	1	1	0	0	0	
156	0	0	0	0	0	0	0	0	0	0	0	0	0	
157	0	0	0	0	0	0	1	0	0	0	0	0	0	
158	0	0	0	0	0	0	0	0	0	0	1	0	0	
159	0	1	0	1	0	0	0	0	0	0	0	0	0	
160	0	1	0	0	0	0	0	0	1	0	0	1	1	
161	0	0	0	0	0	0	0	1	0	0	0	0	0	
162	0	1	0	0	0	0	0	0	0	0	0	0	0	
163	0	0	0	0	0	0	0	0	0	1	0	0	0	
164	0	1	0	0	0	0	0	0	0	0	0	0	0	
165	0	0	1	0	1	0	0	0	0	0	0	0	0	
166	0	0	0	0	0	1	1	0	0	0	0	0	0	
167	0	0	0	1	0	0	1	0	0	0	0	1	0	
168	0	0	0	0	0	0	0	0	0	0	1	0	0	
169	0	0	1	0	0	0	0	0	0	0	0	1	0	
170	0	1	1	0	0	0	0	0	0	0	0	0	1	
171	1	0	0	0	0	0	0	1	0	0	0	0	0	
172	0	1	0	0	0	0	0	0	0	0	0	0	0	
173	0	0	0	0	1	0	0	0	0	1	0	0	0	
174	0	0	0	0	0	0	0	0	1	0	0	0	0	
175	0	0	0	0	0	0	1	0	0	0	0	0	0	
176	0	0	0	0	0	0	0	0	0	0	1	0	0	
177	0	0	0	1	0	0	0	0	0	0	0	0	0	
178	0	0	0	0	0	0	0	0	0	0	0	0	1	
179	0	1	0	0	0	0	0	1	0	0	0	0	0	
180	0	0	0	0	0	0	0	0	0	0	0	0	0	
181	0	0	0	0	0	0	1	0	0	1	0	0	0	
182	0	0	0	0	1	0	1	0	0	0	0	0	0	
183	0	1	0	0	0	0	1	0	1	0	0	0	0	
184	0	0	0	0	0	0	1	0	0	0	0	0	0	
185	0	0	0	1	0	0	0	0	0	0	1	1	1	
186	0	0	0	0	0	0	0	0	0	0	0	0	0	
187	1	1	1	0	0	0	0	0	0	0	0	0	1	
188	0	0	0	0	0	0	0	1	1	0	0	0	0	
189	0	0	0	0	0	0	0	0	0	0	0	0	0	
190	0	0	0	0	0	0	0	0	0	1	0	0	0	
191	0	1	0	0	1	0	1	0	0	0	0	0	0	
192	0	0	0	0	0	0	0	0	0	0	0	0	0	
193	0	0	0	0	0	0	1	0	0	0	0	0	0	
194	0	0	0	1	0	0	0	0	0	0	1	0	0	
195	0	0	0	0	0	1	0	0	0	0	0	0	0	
196	0	0	0	0	0	0	0	0	1	0	0	0	1	
197	0	0	0	0	0	0	0	1	0	0	0	0	0	
198	0	0	0	0	0	0	0	0	1	0	0	0	0	
199	0	0	0	0	0	0	0	0	0	1	0	0	0	
200	0	0	1	0	0	0	1	0	1	0	0	0	0	
201	0	1	0	0	0	0	1	0	0	0	0	0	0	
202	0	0	0	0	0	0	1	0	0	0	0	0	1	
203	0	0	1	1	0	0	1	0	0	0	0	0	1	
204	1	0	1	0	0	0	0	0	0	0	0	0	1	
205	1	0	0	0	0	0	0	0	0	0	0	0	1	
206	0	0	0	0	0	0	0	0	0	0	0	0	0	
207	1	0	0	0	0	0	0	0	0	0	0	1	0	
208	0	0	0	0	0	0	0	0	0	0	0	0	0	
209	0	0	0	0	0	1	1	0	1	1	0	0	0	
210	0	1	0	0	0	0	0	0	0	0	0	0	0	
211	1	1	0	0	0	0	0	0	0	0	0	0	0	
212	0	0	0	0	0	0	0	0	0	0	0	0	0	
213	0	1	0	0	0	0	0	0	0	0	0	1	0	
214	0	0	0	0	0	0	0	0	1	1	0	0	0	
215	1	0	0	0	0	0	0	0	0	0	0	0	0	
216	0	0	0	0	0	0	0	0	0	0	0	0	0	
217	0	1	0	0	0	0	0	0	1	1	0	0	1	
218	0	1	1	0	0	0	0	0	0	0	0	0	0	
219	0	0	0	0	0	0	0	0	0	0	0	0	0	
220	0	0	0	0	0	0	1	0	0	0	0	0	1	
221	0	0	0	0	0	0	0	0	0	0	0	0	1	
222	0	0	0	0	0	0	0	0	0	0	0	0	0	
223	0	0	0	0	0	0	0	0	0	0	0	0	1	
224	0	0	0	0	0	0	0	0	0	0	0	0	1	
225	0	0	0	0	0	0	0	0	1	1	0	1	1	
226	0	1	0	0	0	1	1	0	0	0	0	1	1	
227	0	1	0	0	0	0	0	0	1	0	0	0	0	
228	0	0	0	0	0	0	0	0	0	0	0	0	0	
229	0	1	0	0	0	0	0	0	1	0	0	0	0	
230	0	0	0	0	0	0	0	0	1	0	0	0	0	
231	0	0	0	0	0	0	0	0	0	0	0	0	0	
232	0	0	0	0	0	0	0	0	0	0	0	0	0	
233	0	0	0	0	0	0	0	0	0	0	0	0	0	
234	0	0	0	0	0	0	0	0	0	0	0	1	0	
235	1	0	1	0	0	0	0	0	0	0	0	0	0	
236	1	0	0	0	0	0	0	0	0	0	0	0	0	
237	0	0	0	0	0	0	0	0	0	0	0	0	0	
238	0	0	0	0	0	0	0	0	0	0	0	1	0	
239	0	0	0	0	0	1	0	0	0	0	0	0	0	
240	0	0	0	0	0	0	1	0	0	0	0	0	0	
241	0	0	0	0	0	1	1	0	0	0	0	0	0	
242	0	0	0	0	0	1	0	0	0	0	0	0	0	
243	0	1	1	0	0	1	0	0	0	1	0	0	0	
244	1	0	0	0	0	0	0	0	0	0	0	0	0	
245	0	0	0	0	0	1	0	0	0	0	0	0	0	
246	0	0	0	0	0	1	0	0	0	0	0	0	0	
247	0	0	0	0	0	0	0	0	0	0	0	0	1	
248	1	0	0	0	0	0	0	0	0	0	0	0	0	
249	0	0	0	0	0	0	0	0	0	0	0	0	0	
250	0	1	1	0	0	0	0	0	0	1	0	0	1	
251	0	0	1	0	0	0	0	0	0	1	0	0	0	
252	0	0	0	0	0	0	0	0	0	0	0	0	0	
253	0	0	0	0	0	0	0	0	0	1	0	0	0	
254	0	0	0	0	0	0	0	0	0	0	0	1	0	
255	1	1	1	1	0	0	0	0	0	0	0	0	0	
256	0	0	0	0	0	0	0	0	0	0	0	0	0	
257	1	0	1	0	0	0	0	0	0	1	0	0	0	
258	1	0	0	0	0	1	1	0	0	1	0	1	1	
259	1	0	0	0	0	0	0	0	1	1	0	0	0	
260	0	0	0	0	0	1	0	0	0	0	0	0	0	
261	0	0	0	0	0	1	0	0	0	0	0	0	0	
262	0	0	0	0	0	0	0	0	0	0	0	0	0	
263	0	0	0	0	0	1	0	0	0	0	0	0	0	
264	0	0	0	0	0	0	0	0	0	0	0	0	0	
265	0	0	0	0	0	1	0	0	0	0	0	0	0	
266	0	0	0	0	0	0	0	0	0	0	0	0	0	
267	1	0	0	0	0	0	0	0	0	0	0	0	0	
268	0	0	0	0	0	0	0	0	0	0	0	0	0	
269	0	0	0	0	0	0	0	0	0	0	0	0	1	
270	1	0	0	0	0	0	0	0	0	1	0	0	1	
271	0	0	0	0	0	0	0	0	0	1	0	0	0	
272	0	0	0	0	0	0	0	0	1	1	0	0	0	
273	0	0	0	0	0	0	0	0	0	0	0	1	1	
274	0	0	0	0	0	0	0	0	0	0	0	0	1	
275	0	0	0	0	0	0	0	0	0	0	0	0	1	
276	0	0	0	0	0	0	0	0	0	0	0	0	0	
277	0	0	0	0	0	0	0	0	0	0	0	0	0	
278	0	0	0	0	0	0	0	0	0	0	0	0	0	
279	0	0	0	0	0	0	0	0	0	0	0	0	0	
280	1	1	1	0	0	0	0	0	1	1	0	0	0	
281	1	0	0	0	0	0	0	0	0	0	0	0	0	
282	0	0	0	0	0	0	0	0	0	0	0	0	0	
283	1	0	1	0	0	0	0	0	0	0	0	0	0	
284	0	0	0	0	1	0	1	0	1	1	0	0	0	
285	0	0	0	0	0	0	0	0	1	0	0	0	0	
286	0	0	0	0	1	0	1	0	0	0	0	0	0	
287	0	1	0	0	0	1	0	0	0	0	1	0	1	
288	0	0	0	0	1	0	1	0	0	0	0	0	1	
289	0	0	0	0	0	0	0	0	0	0	1	1	1	
290	0	0	0	0	0	0	1	1	1	0	0	0	0	
291	0	0	0	0	0	0	0	0	0	0	1	0	1	
292	0	0	0	0	0	0	0	1	0	1	0	0	0	
293	0	1	0	0	1	0	0	0	0	0	0	0	1	
294	0	0	0	0	0	0	0	1	0	1	0	0	0	
295	0	0	0	0	0	0	1	0	0	0	0	0	0	
296	0	0	0	1	1	0	0	0	0	1	1	0	0	
297	1	1	0	0	0	0	0	0	0	0	0	0	0	
298	0	0	0	1	1	0	1	0	0	0	0	0	1	
299	0	0	0	0	0	0	0	1	1	0	1	0	0	
300	0	0	0	1	0	0	1	0	0	0	0	0	0	
301	0	0	1	0	0	0	0	0	0	1	1	0	1	
302	1	0	0	0	0	0	0	1	0	0	0	1	0	
303	0	0	0	0	0	0	0	0	0	0	0	1	1	
304	0	1	0	0	0	0	0	1	0	1	0	0	0	
305	0	0	0	1	0	1	0	0	0	0	0	0	0	
306	0	0	0	0	0	0	0	0	0	1	0	0	0	
307	0	0	0	0	0	0	0	0	0	0	0	0	0	
308	0	0	0	1	0	0	0	0	0	0	0	0	0	
309	0	0	0	0	0	0	0	0	1	0	0	1	0	
310	0	0	0	1	0	0	0	0	0	0	0	0	0	
311	0	0	0	0	0	0	1	0	0	0	0	0	0	
312	0	0	0	0	0	0	1	0	0	0	0	0	0	
313	0	0	0	0	0	0	0	0	0	0	0	0	0	
314	0	0	0	1	0	0	0	0	0	1	0	0	1	
315	0	0	0	0	1	0	0	0	0	1	0	0	0	
316	1	0	0	0	0	0	0	0	0	0	0	0	1	
317	0	0	0	0	0	0	1	1	0	0	0	0	0	
318	0	0	0	0	0	0	0	0	0	0	1	0	0	
319	0	1	0	0	0	0	0	0	0	0	0	0	0	
320	0	0	1	0	0	0	0	0	0	0	0	0	1	
321	0	0	0	0	0	0	0	1	1	1	0	0	0	
322	0	0	0	0	0	0	0	0	0	0	0	0	0	
323	0	0	1	0	0	0	1	0	0	1	0	0	1	
324	0	0	0	0	0	0	0	0	0	0	0	0	0	
325	0	0	0	0	0	1	0	0	0	0	0	0	0	
326	0	0	0	0	0	0	0	0	1	0	0	0	1	
327	1	0	0	1	0	0	0	0	0	0	0	0	1	
328	0	0	0	0	0	0	0	0	0	0	0	0	1	
329	0	0	1	0	0	0	0	0	0	0	0	0	1	
330	0	0	0	0	0	0	0	0	0	0	0	0	0	
331	1	0	0	0	0	1	0	0	0	0	0	0	0	
332	0	1	0	0	0	0	0	0	0	0	0	1	0	
333	0	0	0	0	1	0	0	0	0	0	0	0	0	
334	0	0	0	0	0	0	0	0	0	0	0	0	0	
335	1	0	1	1	0	1	1	0	0	0	0	0	0	
336	0	0	0	0	0	0	0	0	0	0	1	0	1	
337	0	1	0	0	0	0	0	0	0	0	0	0	0	
338	0	0	0	0	0	0	0	0	0	0	0	0	1	
339	0	0	0	0	1	0	0	1	1	1	0	0	0	
340	0	0	0	0	0	0	0	0	0	0	0	1	0	
341	0	0	0	0	0	0	0	0	0	0	0	0	0	
