first_timestamp,second_timestamp,diff,average,std_dev
"1,54724556249141E+018","1,54724556249152E+018",112896,,
"1,54724556349368E+018","1,54724556349379E+018",103424,,
"1,54724556449342E+018","1,54724556449352E+018",102656,,
"1,54724556549295E+018","1,54724556549305E+018",95232,,
"1,54724556649151E+018","1,54724556649161E+018",97536,,
"1,54724556748835E+018","1,54724556748844E+018",91648,,
"1,54724556848797E+018","1,54724556848807E+018",97024,,
"1,54724556949241E+018","1,54724556949251E+018",98048,,
"1,54724557049532E+018","1,54724557049544E+018",125440,,
"1,5472455714963E+018","1,5472455714964E+018",101120,,
"1,54724557249201E+018","1,54724557249209E+018",85248,,
"1,54724557448518E+018","1,5472455744853E+018",117504,,
"1,54724557455201E+018","1,54724557455211E+018",99584,,
"1,54724557556818E+018","1,54724557556829E+018",110336,,
"1,54724557655712E+018","1,54724557655722E+018",104704,,
"1,5472455775541E+018","1,54724557755422E+018",117248,,
"1,54724557855921E+018","1,5472455785593E+018",98816,,
"1,54724557955575E+018","1,54724557955593E+018",176896,,
"1,54724558055372E+018","1,54724558055383E+018",107008,,
"1,54724558155413E+018","1,54724558155424E+018",102912,,
"1,54724558255551E+018","1,54724558255562E+018",110080,,
"1,54724558355371E+018","1,54724558355381E+018",101888,,
"1,54724558455164E+018","1,54724558455174E+018",99584,,
"1,54724558555631E+018","1,54724558555641E+018",108032,,
"1,5472455865568E+018","1,5472455865569E+018",98816,,
"1,54724558755227E+018","1,54724558755237E+018",101376,,
"1,54724558855334E+018","1,54724558855345E+018",107264,,
"1,54724558955567E+018","1,54724558955577E+018",100864,,
"1,5472455905557E+018","1,54724559055581E+018",104960,,
"1,54724559155515E+018","1,54724559155526E+018",110592,,
"1,54724559255169E+018","1,54724559255178E+018",91904,,
"1,5472455935513E+018","1,54724559355143E+018",132096,,
"1,54724559455583E+018","1,54724559455594E+018",105728,,
"1,54724559555409E+018","1,5472455955542E+018",112384,,
"1,54724559655388E+018","1,54724559655398E+018",98304,,
"1,54724559754927E+018","1,54724559754936E+018",88576,,
"1,54724559855198E+018","1,54724559855209E+018",118016,,
"1,54724559955776E+018","1,54724559955788E+018",112384,,
"1,54724560055391E+018","1,54724560055402E+018",114432,,
"1,54724560155248E+018","1,54724560155258E+018",100352,,
"1,54724560255366E+018","1,54724560255377E+018",104960,,
"1,54724560355585E+018","1,54724560355596E+018",109312,,
"1,54724560455609E+018","1,54724560455619E+018",101632,,
"1,54724560554956E+018","1,54724560554965E+018",85504,,
"1,54724560654933E+018","1,54724560654944E+018",106240,,
"1,5472456075541E+018","1,5472456075542E+018",105472,,
"1,54724560855642E+018","1,54724560855652E+018",100096,,
"1,54724560955525E+018","1,54724560955535E+018",105984,,
"1,54724561055172E+018","1,54724561055182E+018",99840,,
"1,54724561155051E+018","1,54724561155061E+018",99840,,
"1,54724561255315E+018","1,54724561255326E+018",109568,,
"1,54724561355374E+018","1,54724561355383E+018",97792,,
"1,54724561454656E+018","1,54724561454664E+018",75776,,
"1,54724561555043E+018","1,54724561555053E+018",100352,,
"1,54724561754805E+018","1,54724561754814E+018",88320,,
"1,54724561853879E+018","1,54724561853889E+018",96768,,
"1,54724561860061E+018","1,54724561860069E+018",83200,,
"1,54724561960411E+018","1,5472456196042E+018",84736,,
"1,5472456206015E+018","1,54724562060157E+018",75520,,
"1,5472456215996E+018","1,54724562159968E+018",87040,,
"1,54724562260183E+018","1,54724562260193E+018",95232,,
"1,54724562360474E+018","1,54724562360483E+018",92672,,
"1,54724562460704E+018","1,54724562460717E+018",129536,,
"1,54724562560487E+018","1,54724562560495E+018",81408,,
"1,54724562660218E+018","1,54724562660227E+018",90624,,
"1,54724562760508E+018","1,54724562760517E+018",89600,,
"1,54724562860671E+018","1,54724562860681E+018",98560,,
"1,5472456296088E+018","1,5472456296089E+018",104448,,
"1,54724563060784E+018","1,54724563060794E+018",97792,,
"1,54724563160662E+018","1,54724563160673E+018",109568,,
"1,54724563260757E+018","1,54724563260775E+018",173568,,
"1,54724563360724E+018","1,54724563360734E+018",93184,,
"1,54724563461245E+018","1,54724563461271E+018",259840,,
"1,54724563561257E+018","1,5472456356127E+018",130048,,
"1,54724563660945E+018","1,54724563660955E+018",93952,,
"1,54724563760527E+018","1,54724563760537E+018",94720,,
"1,54724563860697E+018","1,54724563860707E+018",98816,,
"1,54724563960911E+018","1,54724563960921E+018",100352,,
"1,5472456406093E+018","1,5472456406094E+018",101888,,
"1,54724564160804E+018","1,54724564160813E+018",93952,,
"1,54724564260898E+018","1,54724564260908E+018",102656,,
"1,54724564361262E+018","1,54724564361272E+018",99072,,
"1,54724564460899E+018","1,54724564460908E+018",88064,,
"1,54724564560856E+018","1,54724564560867E+018",111872,,
"1,54724564661339E+018","1,5472456466135E+018",103936,,
"1,54724564760984E+018","1,54724564760993E+018",97536,,
"1,54724564860951E+018","1,54724564860961E+018",100352,,
"1,54724564961039E+018","1,54724564961049E+018",106496,,
"1,54724565061274E+018","1,54724565061285E+018",104192,,
"1,54724565161053E+018","1,54724565161064E+018",102400,,
"1,54724565260883E+018","1,54724565260892E+018",94976,,
"1,54724565360858E+018","1,54724565360867E+018",98048,,
"1,54724565461051E+018","1,54724565461062E+018",105728,,
"1,54724565560873E+018","1,54724565560882E+018",93952,,
"1,54724565660497E+018","1,54724565660507E+018",99584,,
"1,54724565760838E+018","1,5472456576085E+018",112896,,
"1,54724565861187E+018","1,54724565861197E+018",100352,,
"1,54724565960896E+018","1,54724565960906E+018",104960,,
"1,54724566060989E+018","1,54724566060999E+018",104192,,
"1,54724566161284E+018","1,54724566161294E+018",102912,,
"1,54724566260977E+018","1,54724566260987E+018",93184,,
"1,54724566360882E+018","1,54724566360892E+018",102912,,
"1,54724566461098E+018","1,54724566461109E+018",105216,,
"1,54724566560971E+018","1,54724566560981E+018",99840,,
"1,54724566660966E+018","1,54724566660976E+018",105984,,
"1,54724566761026E+018","1,54724566761036E+018",99840,,
"1,54724566860994E+018","1,54724566861009E+018",151040,,
"1,54724566960818E+018","1,54724566960828E+018",96768,,
"1,54724567060552E+018","1,54724567060562E+018",100096,,
"1,54724567160652E+018","1,54724567160662E+018",98816,,
"1,54724567260716E+018","1,54724567260726E+018",100608,,
"1,54724567360542E+018","1,54724567360551E+018",94464,,
"1,54724567460796E+018","1,54724567460806E+018",106240,,
"1,54724567560779E+018","1,5472456756079E+018",107008,,
"1,54724567660957E+018","1,54724567660967E+018",97792,,
"1,54724567760717E+018","1,54724567760727E+018",95232,,
"1,54724567860491E+018","1,547245678605E+018",92416,,
"1,54724567960593E+018","1,54724567960604E+018",103680,,
"1,54724568060795E+018","1,54724568060805E+018",107264,,
"1,54724568160845E+018","1,54724568160854E+018",89344,,
"1,54724568260924E+018","1,54724568260933E+018",92928,,
"1,54724568360422E+018","1,54724568360431E+018",96000,,
"1,54724568460714E+018","1,54724568460723E+018",95232,,
"1,54724568560883E+018","1,54724568560894E+018",105728,,
"1,54724568660887E+018","1,54724568660896E+018",96000,,
"1,54724568760708E+018","1,54724568760718E+018",102144,,
"1,54724568860762E+018","1,54724568860772E+018",98816,,
"1,54724568960746E+018","1,54724568960756E+018",104448,,
"1,54724569060907E+018","1,54724569060917E+018",101632,,
"1,5472456916082E+018","1,5472456916083E+018",103168,,
"1,5472456926091E+018","1,5472456926092E+018",104192,,
"1,54724569360751E+018","1,5472456936076E+018",94976,,
"1,54724569460452E+018","1,54724569460461E+018",85504,,
"1,54724569560527E+018","1,54724569560536E+018",88576,,
"1,54724569660798E+018","1,54724569660807E+018",93696,,
